id,type,timestamp,rmssd,nremhr,entropy
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-05-29T00:00:00,89.941,57.314,3.143
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-06-07T00:00:00,122.089,53.976,3.37
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-06-22T00:00:00,113.97,53.006,3.226
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-07-01T00:00:00,104.583,55.044,3.353
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-07-11T00:00:00,97.882,56.134,3.522
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-07-25T00:00:00,86.985,56.871,3.216
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-06-01T00:00:00,117.717,56.507,3.343
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-06-16T00:00:00,97.102,58.476,3.438
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-06-25T00:00:00,120.64,55.178,3.374
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-07-05T00:00:00,100.307,53.407,3.113
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-07-14T00:00:00,105.642,57.446,3.358
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-07-28T00:00:00,97.232,54.064,3.072
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-05-26T00:00:00,119.212,57.481,3.36
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-06-04T00:00:00,102.604,56.439,3.463
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-06-19T00:00:00,107.832,54.92,3.35
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-06-28T00:00:00,97.892,52.825,3.122
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-07-08T00:00:00,89.931,53.091,3.185
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-07-17T00:00:00,103.011,57.675,3.357
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-07-31T00:00:00,86.15,57.942,3.362
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-05-27T00:00:00,111.709,57.493,3.365
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-06-02T00:00:00,111.776,60.259,3.515
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-06-08T00:00:00,97.144,55.706,3.198
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-06-17T00:00:00,102.006,55.916,3.305
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-06-23T00:00:00,86.697,56.357,3.409
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-06-29T00:00:00,97.538,52.768,3.142
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-07-06T00:00:00,99.445,55.42,3.187
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-07-12T00:00:00,100.374,55.136,3.343
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-07-18T00:00:00,107.148,56.587,3.39
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-07-20T00:00:00,98.515,60.389,3.606
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-07-22T00:00:00,101.8,66.806,3.719
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-07-26T00:00:00,81.741,56.034,3.001
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-05-25T00:00:00,94.303,57.681,3.231
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-05-31T00:00:00,109.509,58.652,3.473
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-06-06T00:00:00,115.292,56.57,3.506
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-06-18T00:00:00,95.983,56.504,3.294
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-06-24T00:00:00,93.842,53.588,3.152
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-06-30T00:00:00,104.673,55.817,3.315
621e2e8e67b776a24055b564,Daily Heart Rate Variability Summary,2021-07-07T00:00:00,80.192,56.259,3.206
