id,type,dateTime,value
621e2e8e67b776a24055b564,very_active_minutes,05/26/21 00:00:00,31
621e2e8e67b776a24055b564,very_active_minutes,06/11/21 00:00:00,45
621e2e8e67b776a24055b564,very_active_minutes,06/27/21 00:00:00,20
621e2e8e67b776a24055b564,very_active_minutes,07/13/21 00:00:00,33
621e2e8e67b776a24055b564,very_active_minutes,07/29/21 00:00:00,65
621e2e8e67b776a24055b564,very_active_minutes,05/30/21 00:00:00,0
621e2e8e67b776a24055b564,very_active_minutes,06/15/21 00:00:00,39
621e2e8e67b776a24055b564,very_active_minutes,07/01/21 00:00:00,34
621e2e8e67b776a24055b564,very_active_minutes,07/17/21 00:00:00,28
621e2e8e67b776a24055b564,very_active_minutes,08/02/21 00:00:00,0
621e2e8e67b776a24055b564,very_active_minutes,05/29/21 00:00:00,98
621e2e8e67b776a24055b564,very_active_minutes,06/10/21 00:00:00,37
621e2e8e67b776a24055b564,very_active_minutes,06/22/21 00:00:00,34
621e2e8e67b776a24055b564,very_active_minutes,07/04/21 00:00:00,8
621e2e8e67b776a24055b564,very_active_minutes,07/16/21 00:00:00,43
621e2e8e67b776a24055b564,very_active_minutes,07/28/21 00:00:00,38
621e2e8e67b776a24055b564,very_active_minutes,05/27/21 00:00:00,37
621e2e8e67b776a24055b564,very_active_minutes,06/04/21 00:00:00,36
621e2e8e67b776a24055b564,very_active_minutes,06/08/21 00:00:00,37
621e2e8e67b776a24055b564,very_active_minutes,06/12/21 00:00:00,39
621e2e8e67b776a24055b564,very_active_minutes,06/16/21 00:00:00,40
621e2e8e67b776a24055b564,very_active_minutes,06/20/21 00:00:00,0
621e2e8e67b776a24055b564,very_active_minutes,06/24/21 00:00:00,39
621e2e8e67b776a24055b564,very_active_minutes,06/28/21 00:00:00,65
621e2e8e67b776a24055b564,very_active_minutes,07/02/21 00:00:00,31
621e2e8e67b776a24055b564,very_active_minutes,07/06/21 00:00:00,49
621e2e8e67b776a24055b564,very_active_minutes,07/10/21 00:00:00,35
621e2e8e67b776a24055b564,very_active_minutes,07/26/21 00:00:00,61
621e2e8e67b776a24055b564,very_active_minutes,06/07/21 00:00:00,34
621e2e8e67b776a24055b564,very_active_minutes,06/23/21 00:00:00,29
621e2e8e67b776a24055b564,very_active_minutes,07/09/21 00:00:00,41
621e2e8e67b776a24055b564,very_active_minutes,07/25/21 00:00:00,0
